Error,Emt,Eme,E0
4.23319761421,0.5,100000.0,0.045375,
0.50917834996,0.5,100000.0,0.1087875,
0.68315982336,0.5,100000.0,0.1722,
4.59483521249,0.5,316227.766017,0.045375,
0.142591620296,0.5,316227.766017,0.1087875,
0.219248047932,0.5,316227.766017,0.1722,
4.65930794323,0.5,1000000.0,0.045375,
0.467565113929,0.5,1000000.0,0.1087875,
0.0353684213642,0.5,1000000.0,0.1722,
4.81874171185,1.25,100000.0,0.045375,
2.59498658993,1.25,100000.0,0.1087875,
0.0838692816977,1.25,100000.0,0.1722,
4.81874188595,1.25,316227.766017,0.045375,
2.7661420616,1.25,316227.766017,0.1087875,
0.892053116095,1.25,316227.766017,0.1722,
4.81874191464,1.25,1000000.0,0.045375,
2.79593948011,1.25,1000000.0,0.1087875,
1.15843176923,1.25,1000000.0,0.1722,
4.81874197952,2.0,100000.0,0.045375,
2.85874063454,2.0,100000.0,0.1087875,
1.77755907547,2.0,100000.0,0.1722,
4.81874197952,2.0,316227.766017,0.045375,
2.85923125119,2.0,316227.766017,0.1087875,
1.89722052291,2.0,316227.766017,0.1722,
4.81874197952,2.0,1000000.0,0.045375,
2.85931214574,2.0,1000000.0,0.1087875,
1.91795041415,2.0,1000000.0,0.1722,
